Name,Href,Cuisines
Scientific Pharmacy,/oman/pharmacy/664035/scientific-pharmacysohar-1?aid=5605,Pharmacy
Doodle Cafe,/oman/restaurant/675657/doodle-cafe-al-hambar?aid=5605,"Desserts, Beverages"
Alwafy Alrraqi,/oman/restaurant/658490/alwafy-alrraqi-khawr-al-siyabi?aid=5605,"Cafe, Beverages, Grills"
Antica Cafe,/oman/restaurant/717536/antica-cafe-al-hambar?aid=5605,"Breakfast, Desserts, Beverages"
Roshen Cafe,/oman/restaurant/706482/roshen-cafe-as-suwayhrah?aid=5605,"Pastries, Indian, Beverages"
Basma Sohar Pizza and Pies,/oman/restaurant/628668/basma-sohar-pizza-and-pies?aid=5605,"Pies, Sandwiches, Pizza"
Modern Oman Bakery,/oman/restaurant/601626/modern-oman-bakerysohar?aid=5605,"Desserts, Beverages, Pastries"
Vienes Cafe,/oman/restaurant/697516/vienes-cafe-sohar?aid=5605,"Cafe, Cakes and Desserts, Coffee"
Massa Alkun Turkish,/oman/restaurant/42906/massa-turkish?aid=5605,"Cafe, Beverages, Sandwiches"
SEER,/oman/restaurant/725290/seer?aid=5605,"Coffee, Bakery"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=5605,Charity
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=5605,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=5605,Charity
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=5605,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=5605,Charity
Taibat Al Bait Al Shami,/oman/restaurant/703849/taibat-al-bait-al-shami-sohar?aid=5605,"Beverages, Grills, Sandwiches"
"ChicKing, Al Ghushbah",/oman/restaurant/710300/chicking-al-ghushbah?aid=5605,"Fried chicken, Sandwiches, Wraps"
Alkhater Restaurant,/oman/restaurant/30345/alkhater-restaurant-al-hambar?aid=5605,"Grills, Biryani, International"
Ahl Al Fazaa Restaurant For Banquets,/oman/restaurant/719977/ahl-al-fazaa-restaurant-for-banquets-al-uwaynat?aid=5605,"Arabic, Omani, Grills"
