Name,Href,Cuisines
Libra,/oman/restaurant/732124/libra-at-turayf?aid=2621,"Cafe, Coffee, Desserts"
Claras Cafe  AL Hujrah,/oman/restaurant/676240/claras-cafe-majis?aid=2621,"Desserts, Beverages, Arabic sweets"
Roshen Cafe,/oman/restaurant/706482/roshen-cafe-as-suwayhrah?aid=2621,"Pastries, Indian, Beverages"
Doodle Cafe,/oman/restaurant/675657/doodle-cafe-al-hambar?aid=2621,"Desserts, Beverages"
Vienes Cafe,/oman/restaurant/697516/vienes-cafe-sohar?aid=2621,"Cafe, Cakes and Desserts, Coffee"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=2621,Charity
Ahl Al Fazaa Restaurant For Banquets,/oman/restaurant/719977/ahl-al-fazaa-restaurant-for-banquets-al-uwaynat?aid=2621,"Arabic, Omani, Grills"
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=2621,Charity
Alwafy Alrraqi,/oman/restaurant/658490/alwafy-alrraqi-khawr-al-siyabi?aid=2621,"Cafe, Beverages, Grills"
Al Mahashi Time,/oman/restaurant/722599/al-mahashi-time-majis?aid=2621,"Mezze, Desserts"
709 burger,/oman/restaurant/708392/709-burger-al-hambar?aid=2621,"International, Beverages, Sandwiches"
AL SUWAIHARA RESTAURANT & COFFEE SHOP,/oman/restaurant/699505/al-suwaihara-restaurant-coffee-shop-as-suwayhrah?aid=2621,"Asian, Pakistani"
Al Namarak Sohar Restaurant,/oman/restaurant/670405/al-namarak-sohar-restaurant?aid=2621,Grills
FAMOUS CAFE,/oman/restaurant/678839/famous-cafe-khawr-al-siyabi?aid=2621,"Cafe, Beverages, Burgers"
SEER,/oman/restaurant/725290/seer?aid=2621,"Coffee, Bakery"
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=2621,Charity
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=2621,Charity
SEER,/oman/restaurant/725290/seer?aid=2621,"Coffee, Bakery"
Chahi,/oman/restaurant/704454/chahi-al-fatik?aid=2621,"Pastries, Beverages, Coffee"
Vasanta Bhavan,/oman/restaurant/700139/vasanta-bhavan-sohar?aid=2621,"Vegetarian, Chinese, Indian"
Kucu,/oman/restaurant/725617/kucu-al-majis?aid=2621,"Fast food, Sandwiches"
Hadrramout Restaurant,/oman/restaurant/641493/hadrramout-restaurant-al-hambar?aid=2621,"Grills, Biryani"
Taibat Al Bait Al Shami,/oman/restaurant/703849/taibat-al-bait-al-shami-sohar?aid=2621,"Beverages, Grills, Sandwiches"
Tutty Fruity,/oman/restaurant/639683/tutty-fruity-sohar-al-fatik?aid=2621,"Beverages, Juices, Milkshakes"
Dar Al Mahashi Restaurant,/oman/restaurant/718129/dar-al-mahashi-restaurant-sohar--al-hadhirah?aid=2621,"Egyptian, Arabic, Mezze"
Orlov,/oman/restaurant/704411/orlov-al-hambar?aid=2621,"Cafe, Beverages, Desserts"
Dallat Kookh Al Shaay,/oman/restaurant/666384/dallat-kookh-al-shaay-qursiyabi-khawr-al-siyabi?aid=2621,"Cafe, Beverages, Sandwiches"
Lahfa,/oman/restaurant/720056/lahfa-al-hambar?aid=2621,"Beverages, International"
"ChicKing, Al Ghushbah",/oman/restaurant/710300/chicking-al-ghushbah?aid=2621,"Fried chicken, Sandwiches, Wraps"
Modern Oman Bakery,/oman/restaurant/601626/modern-oman-bakerysohar?aid=2621,"Desserts, Beverages, Pastries"
