Name,Href,Cuisines
Carrefour,/oman/grocery/33966/carrefour-qurm-muscat?aid=1398,"Hypermarket, Grocery"
Fashion Eyes,/oman/restaurant/700730/fashion-eyes-qurm?aid=1398,cosmetics
Al Meera,/oman/grocery/699217/al-meera-panorama-muscat?aid=1398,"Hypermarket, Grocery"
Scientific Pharmacy,/oman/pharmacy/664073/scientific-pharmacyqurm-muscat?aid=1398,Pharmacy
LuLu Hypermarket,/oman/grocery/691937/lulu-hypermarket-darsait-muscat?aid=1398,"Hypermarket, Grocery"
Fayha Fresh,/oman/grocery/641716/fayha-fresh-al-khuwayr-north-muscat?aid=1398,"Supermarket , Grocery"
minis,/oman/restaurant/710150/minis-shati-al-qurm?aid=1398,"Coffee, Desserts, Frozen yogurt"
Ramssa,/oman/restaurant/693413/ramsa-qurm?aid=1398,"Arabic, Grills, Sandwiches"
Zero°,/oman/restaurant/676145/zero-shati-al-qurum?aid=1398,"Beverages, Coffee, Desserts"
Milk Bun,/oman/restaurant/724404/milk-bun-qurm?aid=1398,"Burgers, Desserts"
Healthy&co,/oman/restaurant/714144/healthy-co-qurmqurm?aid=1398,"Bowls, Salad, Healthy"
Ferdowsi,/oman/restaurant/673285/ferdowsi-al-qurm-18?aid=1398,"Grills, Kebab, Arabic"
Kaldi 850 Coffee,/oman/restaurant/712931/kaldi-850-coffee-qurm?aid=1398,"Beverages, Sandwiches, Cafe"
LUBAN CAFE,/oman/restaurant/674248/luban-cafe-hay-al-sarooj?aid=1398,"Desserts, Beverages, Cakes"
Alauddin,/oman/restaurant/711390/alauddin-madinat-al-sultan-qaboos?aid=1398,"Grills, Chinese, Indian"
Mix N` Munch,/oman/restaurant/704123/mix-n-munch-qurum?aid=1398,"Wraps, Sandwiches, Pasta"
Shandiz,/oman/restaurant/620302/shandiz-al-qurm-18?aid=1398,"Grills, Bbq, Iranian"
seasons dolci,/oman/restaurant/698801/seasons-dolci-qurm?aid=1398,"Desserts, Beverages, Breakfast"
MLS Steakhouse,/oman/restaurant/665520/mls-steakhouse-shati-al-qurm?aid=1398,"Burgers, International, Sliders"
Tex Mex Grills,/oman/restaurant/702147/tex-mex-grills-al-khuwayr-north?aid=1398,"Burgers, Mexican, Snacks"
Lebanese Village Restaurant,/oman/restaurant/47556/lebanese-village-restaurant-shati-al-qurm?aid=1398,"Grills, Wraps, Pastries"
What A Paratha!,/oman/restaurant/720744/what-a-paratha-qurm?aid=1398,"Sandwiches, Desserts, Beverages"
Rice N Roll,/oman/restaurant/700580/rice-n-roll-qurm?aid=1398,"Sushi, Seafood, Asian"
Pronto,/oman/restaurant/722785/pronto-qurm?aid=1398,"Pasta, Desserts"
Lux Cafe,/oman/restaurant/658735/lux-cafe-qurm?aid=1398,"Beverages, Coffee, Sandwiches"
Mug Coffee And Roastery,/oman/restaurant/670333/mug-coffee-and-roastery-madinat-sultan-qabosmadinat-al-sultan-qaboos?aid=1398,"Beverages, Juices, Coffee"
Hunger Bowls,/oman/restaurant/709433/hunger-bowls-al-khuwayr-south?aid=1398,"Bowls, Indian, Italian, Arabic"
Wasabi Sushi,/oman/restaurant/35325/wasabi-sushi-hay-al-sarooj?aid=1398,"Sushi, Seafood, Japanese"
Cherry Bistro,/oman/restaurant/641924/cherry-bistro-qurm?aid=1398,"Iranian, Pasta, Grills"
Bash Burger,/oman/restaurant/723000/bash-burger-qurm?aid=1398,"International, Burgers"
Lux Cafe,/oman/restaurant/658735/lux-cafe-qurm?aid=1398,"Beverages, Coffee, Sandwiches"
Mug Coffee And Roastery,/oman/restaurant/670333/mug-coffee-and-roastery-madinat-sultan-qabosmadinat-al-sultan-qaboos?aid=1398,"Beverages, Juices, Coffee"
Hunger Bowls,/oman/restaurant/709433/hunger-bowls-al-khuwayr-south?aid=1398,"Bowls, Indian, Italian, Arabic"
Hardee's,/oman/restaurant/646355/hardees-shati-al-qurm?aid=1398,"Fast food, Chicken, Burgers"
Bash Burger,/oman/restaurant/723000/bash-burger-qurm?aid=1398,"International, Burgers"
Thai Corner,/oman/restaurant/684860/thai-corner-qurm?aid=1398,"Thai, Asian, Vegetarian"
McCafé,/oman/restaurant/669833/mccaf-qurm?aid=1398,"Donuts, Coffee, Cakes"
Black,/oman/restaurant/726030/black-madinat-al-sultan-qaboos?aid=1398,American
Dr.Nutrition,/oman/grocery/688167/dr-nutrition-al-quram?aid=1398,"Specialty Store , Supplements"
Mandi Azal,/oman/restaurant/704002/mandi-azal-qurm?aid=1398,"Arabic, Beverages, Mandi"
Farsha,/oman/restaurant/719064/farsha-al-khuwayr-north?aid=1398,"Omani, Grills, Wraps, Arabic"
Kaia Muscat,/oman/restaurant/678841/kaia-muscat-qurm?aid=1398,"Sandwiches, Snacks, Breakfast"
Tartufo,/oman/restaurant/685359/tartufo?aid=1398,"International, Italian"
Shrimp Station,/oman/restaurant/662708/shrimp-station?aid=1398,"Seafood, International"
Bubble Lab,/oman/restaurant/691675/bubble-lab-hay-al-sarooj?aid=1398,"Bubble tea, Burgers, Desserts"
Frozen Beanz,/oman/restaurant/680857/frozen-beanz-qurm?aid=1398,"Desserts, Beverages, Ice Cream"
Shawarma Abu Sitah,/oman/restaurant/729799/shawarma-abu-sitah-al-khuwayr-north?aid=1398,"Shawarma, Doner"
Savannah BBQ,/oman/restaurant/707798/savannah-bbq-shati-al-qurm?aid=1398,"International, Grills, African"
Kumar,/oman/restaurant/645445/kumar-qurm?aid=1398,"Indian, Salad, Chicken"
