Name,Href,Cuisines
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=1417,Charity
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=1417,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=1417,Charity
Bastah Majan Roastery,/oman/restaurant/696054/bastah-majan-roastery-giffnen-rusayl?aid=1417,"Roastery, Specialty Store"
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=1417,Charity
Association for the Welfare of the Handicapped Children,/oman/restaurant/630906/association-for-the-welfare-of-the-handicapped-children?aid=1417,Charity
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=1417,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=1417,Charity
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=1417,Charity
Environment Society of Oman,/oman/restaurant/641624/environment-society-of-oman?aid=1417,Charity
National Initiative For Plantation of 10 Million Trees,/oman/restaurant/701789/national-initiative-for-plantation-of-10-million-trees?aid=1417,Charity
Fone Zone,/oman/restaurant/616095/fone-zone-tmp?aid=1417,Electronics
Jufa Water,/oman/grocery/50620/jufa-water-azaiba1?aid=1417,Water
Laderach chocolatier suisse,/oman/restaurant/679032/laderach-choclolatier-suisse?aid=1417,"Desserts, Chocolate, Snacks"
Italiano,/oman/restaurant/1297/italiano-mawaleh-north?aid=1417,"Italian, Pizza, Pasta"
Anaqti,/oman/restaurant/616884/anaqti-tmp-al-koudh-6?aid=1417,cosmetics
Choco Rose,/oman/flower/40480/choco-rose-seeb-al-mawalih-north?aid=1417,"Flowers, Desserts"
Chowking,/oman/restaurant/2953/chowking-mawaleh-south?aid=1417,"Chinese, Asian, Noodles"
China Town,/oman/restaurant/8926/china-town-khoud?aid=1417,"Seafood, Noodles, Vegetarian"
Wunderoom,/oman/restaurant/653039/wunderoom-al-khuwayr-south?aid=1417,cosmetics
On The Wood,/oman/restaurant/16698/on-the-wood-al-mawalih-north?aid=1417,"Lebanese, International, Sandwiches"
"Abadzi Gifts, Flowers & Chocolates",/oman/flower/600235/abadzi-gifts-and-flowers-al-khoud?aid=1417,Flowers
Avantia,/oman/flower/730681/avantia-al-mawalih-north?aid=1417,Flowers
Masdar Water,/oman/grocery/618484/masdar-water-al-ansab?aid=1417,Water
"AL JOOD RESTAURANT, al hail north, Hail North",/oman/restaurant/693160/al-jood-restaurant-al-hail-north-hail-north?aid=1417,"Grills, Shawarma, Sandwiches"
Dashing Nails,/oman/restaurant/51363/dashing-nails-al-khuwir?aid=1417,cosmetics
Play & Learn,/oman/restaurant/660846/play-learn-seebseeb?aid=1417,Specialty Store
iStore,/oman/restaurant/676424/istore-al-mawalih-north?aid=1417,Electronics
Casabella,/oman/restaurant/601396/casabella?aid=1417,Specialty Store
Irose,/oman/flower/697102/irose-al-koudh?aid=1417,Flowers
Omar Al Khayyam,/oman/restaurant/1916/omar-al-khayyam-al-khoud-br?aid=1417,"Chinese, Indian, Pakistani"
Dr. Burger,/oman/restaurant/601329/dr-burger-tmp-al-mawalih-north?aid=1417,"Fast food, Burgers"
Choice Cafe,/oman/restaurant/29795/choice-cafe-al-koudh?aid=1417,"Fast food, Breakfast, Burgers"
Oak Tempting Chocolate,/oman/restaurant/650445/oak-tempting-chocolate-al-khuwayr-north?aid=1417,"Bakery, Cakes, Desserts"
ANKER,/oman/restaurant/52702/anker-mall-of-oman?aid=1417,Electronics
Hen Crispy Chicken,/oman/restaurant/650450/hen-crispy-chickenbawshar?aid=1417,"Fried chicken, Chicken, Burgers"
Al Aktham Restaurant,/oman/restaurant/1422/al-aktham-restaurant-khuwair?aid=1417,"Grills, Salad, Indian"
Spicy Village,/oman/restaurant/548/spicy-village-rusail-burj-sahwa?aid=1417,"Indian, Vegetarian, Chinese, International, Grills"
Handicrafts House,/oman/restaurant/600236/omani-handicrafts-house-airport-heights?aid=1417,Specialty Store
The Butcher's Block,/oman/grocery/35579/the-butchers-block-al-mawalih-north?aid=1417,Fresh Meat & Fish
Mamasan,/oman/restaurant/4016/mamasan-ghubrah-ashmaliya?aid=1417,"Chinese, Seafood, Chicken"
VODAVODA,/oman/grocery/601563/vodavoda-ghubrah-janubiyyah?aid=1417,"Water, Specialty Store"
Rozmel,/oman/flower/44977/rozmel-maabela?aid=1417,Flowers
Giftsonclick,/oman/flower/684383/giftsonclick-ruwi?aid=1417,Flowers
Hot Burger,/oman/restaurant/1997/hot-burger-mawaleh-south?aid=1417,"Cafe, Beverages, Burgers"
National Natural Honey,/oman/grocery/651159/national-natural-honey-azaiba?aid=1417,Specialty Store
Speaking roses,/oman/flower/688498/speaking-roses-khuwair-33?aid=1417,"Flowers, Desserts"
Buthoor,/oman/grocery/651167/buthoor-maabela-south?aid=1417,Fruits & Vegetables
