Name,Href,Cuisines
SEKAH 55,/oman/restaurant/727047/sekah-55-middle-taqa?aid=8957,"Cafe, Sandwiches, Desserts"
Lava Coffee,/oman/restaurant/697750/lava-coffee-sahnawt-al-janubiyyah?aid=8957,"Beverages, Coffee"
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=8957,Charity
Pakistani Restaurant,/oman/restaurant/678750/pakistani-restaurant-taqah-roundabout?aid=8957,"Grills, Biryani, Chicken"
Izz Tea,/oman/restaurant/691760/izz-tea-west-taqah?aid=8957,"Cafe, Beverages, Burgers"
Panella Cafe,/oman/restaurant/655262/panella-cafe-taqah-public-garden-area?aid=8957,"Beverages, Desserts"
Jumana cafe,/oman/restaurant/705216/jumana-cafe-west-taqah?aid=8957,"Cafe, Sandwiches, Desserts"
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=8957,Charity
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=8957,Charity
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=8957,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=8957,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=8957,Charity
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=8957,Charity
Patria Cafe,/oman/restaurant/695803/patria-cafe-taqah?aid=8957,"Cafe, Beverages, Desserts"
BM COFFEE,/oman/restaurant/708538/bm-coffee-sahnawt-al-janubiyyah?aid=8957,"International, Beverages, Desserts"
Mood Coffee Plus,/oman/restaurant/661747/mood-coffee-plus-al-saadahjanub-madinat-as-saad?aid=8957,"Desserts, Beverages, Sandwiches"
Sekah 75 - Ad Dahariz,/oman/restaurant/686910/sekah-75-shamal-ad-dahariz?aid=8957,"Cafe, Sandwiches, Desserts"
CHOCOLALA,/oman/flower/673851/chocolala-as-sada-city-mall?aid=8957,"Chocolate, Pastries & Sweets"
Hesto,/oman/restaurant/703841/hesto-west-taqah?aid=8957,"Coffee, Sandwiches, Desserts"
Steam Cafe,/oman/restaurant/696533/steam-cafe-salalah--sahnawt-sahnawt-al-janubiyyah?aid=8957,"Cafe, Beverages, Sandwiches"
Original Technology 🔥,/oman/restaurant/665389/original-technology-shamal-madinat-as-saadah?aid=8957,Electronics
Koukh Al Shay Cafeteria,/oman/restaurant/683804/koukh-al-shay-cafeteria-sahnawt-al-janubiyyah?aid=8957,"Beverages, Desserts"
Monkey Cookies,/oman/restaurant/41369/monkey-cookies-saadaal-sada-north?aid=8957,"Desserts, Beverages, Coffee"
Association for the Welfare of the Handicapped Children,/oman/restaurant/630906/association-for-the-welfare-of-the-handicapped-children?aid=8957,Charity
Al Jasim Electronics,/oman/restaurant/707722/al-jasim-electronics-salalah-grand-mall?aid=8957,Electronics
Environment Society of Oman,/oman/restaurant/641624/environment-society-of-oman?aid=8957,Charity
Afkar Cafe,/oman/restaurant/689495/afkar-cafe?aid=8957,"Coffee, Desserts, Cafe"
Baristro Cafe - saada,/oman/restaurant/648946/baristro-cafe-saadah?aid=8957,"Beverages, Desserts"
Tea Station,/oman/restaurant/686911/tea-station-shamal-ad-dahariz?aid=8957,"Coffee & Tea, Sandwiches, Desserts"
Bascleta,/oman/restaurant/603442/bascleta-coffee-words-al-karath?aid=8957,"Beverages, Desserts"
Solo Cafe- Saada,/oman/restaurant/649133/solo-cafe-shamal-madinat-as-saadah?aid=8957,"Beverages, Smoothies, Desserts"
Fatayer Istanbul,/oman/restaurant/612303/fatayer-istanbulsahnawt-al-janubiyyah?aid=8957,"Fast food, Pies, Burgers"
AL QAFILA,/oman/restaurant/695110/al-qafila-as-saadah?aid=8957,"Sandwiches, Juices, Fast food"
Camel Cookies,/oman/restaurant/642298/camel-cookies-shamal-ad-dahariz?aid=8957,"Beverages, Desserts, International"
Alsafah Restaurant,/oman/restaurant/619187/alsafah-restaurant-sahnawt?aid=8957,"Mandi, Arabic, Pasta"
McCafé,/oman/restaurant/671190/mccaf-ar-rubat?aid=8957,"Donuts, Coffee, Cakes"
"Toqa Coffee, Dahariz",/oman/restaurant/642256/toqa-coffee-dahariz-janub-ad-dahariz?aid=8957,"Desserts, Beverages"
Joufa Cafe,/oman/restaurant/683777/joufa-cafe-shamal-madinat-as-saadah?aid=8957,"Cafe, Snacks, Sandwiches, Desserts"
Wadi Jinin Restaurant,/oman/restaurant/674928/wadi-jinin-restaurant-sahnawt-al-janubiyyah?aid=8957,"Cafe, Beverages, Sandwiches"
Golden bakes & sweets,/oman/restaurant/724293/golden-bakes-sweets-shamal-ad-dahariz?aid=8957,"Bakery, Desserts, Arabic"
talabat mart,/oman/grocery/622239/talabat-mart-east-salalah?aid=8957,Grocery
Al Watheeka,/oman/restaurant/601618/al-watheeka-janub-ad-dahariz?aid=8957,"Sandwiches, Ice cream, Burgers"
Emirates Pastry,/oman/restaurant/600999/emirates-pastry-shamal-madinat-as-saadah?aid=8957,"Pastries, Pizza, Chicken"
Nuestro Cafe,/oman/restaurant/48992/nuestro-cafeal-dahreez-north?aid=8957,"Beverages, Sandwiches, Desserts"
Asghar Ali,/oman/restaurant/726123/asghar-ali-salalah-gharbiya?aid=8957,Perfumes
Bon Lab,/oman/restaurant/721567/bon-lab-janub-madinat-as-saad?aid=8957,"Cafe, Beverages, Cakes"
Majlis,/oman/restaurant/636998/majlis-salalah-airport-new?aid=8957,"Cafe, Beverages, Sandwiches"
