Name,Href,Cuisines
Estrella Cafe,/oman/restaurant/712671/estrella-cafe-al-tarif?aid=8889,"Cafe, Sandwiches, Desserts"
Tea & Donuts,/oman/restaurant/603046/tea-donuts-khabbat-un-nawafil?aid=8889,"Donuts, Desserts, Cafe"
505 CAFE,/oman/restaurant/708452/505-cafe-tharmad-suwayq?aid=8889,"Cafe, Coffee, Desserts"
Luqaimat,/oman/restaurant/600857/luqaimat-batha-hilal?aid=8889,"Arabic sweets, Desserts"
Vitamin Hat,/oman/restaurant/671614/vitamin-hat-tharmad-suwayq?aid=8889,"Beverages, Ice cream, Desserts"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=8889,Charity
Baskin Robbins,/oman/restaurant/600941/baskin-robbins-al-afrad?aid=8889,"Ice cream, Cakes, Desserts"
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=8889,Charity
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=8889,Charity
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=8889,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=8889,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=8889,Charity
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=8889,Charity
ONE WAY,/oman/restaurant/690715/one-way-tharmad-suwayq?aid=8889,"Burgers, Beverages, Pasta"
Burger Garage,/oman/restaurant/28744/burger-garage-al-suwaiq?aid=8889,"Burgers, Sandwiches"
Estrella Cafe,/oman/restaurant/712671/estrella-cafe-al-tarif?aid=8889,"Cafe, Sandwiches, Desserts"
Tea & Donuts,/oman/restaurant/603046/tea-donuts-khabbat-un-nawafil?aid=8889,"Donuts, Desserts, Cafe"
505 CAFE,/oman/restaurant/708452/505-cafe-tharmad-suwayq?aid=8889,"Cafe, Coffee, Desserts"
Luqaimat,/oman/restaurant/600857/luqaimat-batha-hilal?aid=8889,"Arabic sweets, Desserts"
Vitamin Hat,/oman/restaurant/671614/vitamin-hat-tharmad-suwayq?aid=8889,"Beverages, Ice cream, Desserts"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=8889,Charity
Baskin Robbins,/oman/restaurant/600941/baskin-robbins-al-afrad?aid=8889,"Ice cream, Cakes, Desserts"
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=8889,Charity
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=8889,Charity
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=8889,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=8889,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=8889,Charity
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=8889,Charity
ONE WAY,/oman/restaurant/690715/one-way-tharmad-suwayq?aid=8889,"Burgers, Beverages, Pasta"
Burger Garage,/oman/restaurant/28744/burger-garage-al-suwaiq?aid=8889,"Burgers, Sandwiches"
