Name,Href,Cuisines
Phenuq Cafe,/oman/restaurant/34889/phenuq-cafe-harat-al-balush?aid=5511,"Beverages, Desserts"
Couple Cookies,/oman/restaurant/704530/couple-cookies-ash-sharqiyah?aid=5511,"Desserts, Cafe, Coffee"
Xo samoli,/oman/restaurant/620835/xo-samoli-al-barr?aid=5511,"Cafe, Beverages, Sandwiches"
Papa Johns,/oman/restaurant/689132/papa-johns-hillat-al-kahraba?aid=5511,"Pizza, Pastries, Italian"
Brew Oz Speciality Coffee,/oman/restaurant/643238/brew-oz-speciality-coffee-suq?aid=5511,Beverages
Knafeh And Fork,/oman/restaurant/721355/knafeh-and-fork-suq?aid=5511,"Desserts, Coffee, Arabic sweets"
Om Al Donia,/oman/restaurant/602082/om-al-donia-as-ashriya?aid=5511,"Fast food, Pizza, Pasta"
Aseer Time,/oman/restaurant/641972/aseer-time-ar-rusagh?aid=5511,"Beverages, Ice cream, Waffles"
Pizza Muscat,/oman/restaurant/41009/pizza-muscactsur-souq?aid=5511,"Pizza, Pastries, Italian"
Lokmali Coffee & Sweets,/oman/restaurant/696739/lokmali-coffee-sweets-sur?aid=5511,"Coffee, Desserts, Beverages"
Baskin Robbins,/oman/restaurant/33846/baskin-robbins-hillat-al-kahraba?aid=5511,"Ice cream, Cakes, Desserts"
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=5511,Charity
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=5511,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=5511,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=5511,Charity
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=5511,Charity
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=5511,Charity
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=5511,Charity
Snack Time,/oman/restaurant/696550/snack-time-hillat-al-kahraba?aid=5511,"Sandwiches, Desserts, Beverages"
Golden Luqaimat,/oman/restaurant/638470/golden-luqaimat-as-ashriya?aid=5511,"Fast food, Pies, Sandwiches"
