Name,Href,Cuisines
Shawerma Al Balad,/oman/restaurant/722827/shawerma-al-balad-al-khuwayr-south?aid=1379,"Shawarma, Sandwiches, Arabic"
Carrefour,/oman/grocery/34180/carrefour-mgm-muscat?aid=1379,"Hypermarket, Grocery"
Fashion Eyes,/oman/restaurant/700730/fashion-eyes-qurm?aid=1379,cosmetics
Al Meera,/oman/grocery/699217/al-meera-panorama-muscat?aid=1379,"Hypermarket, Grocery"
Fayha Fresh,/oman/grocery/641716/fayha-fresh-al-khuwayr-north-muscat?aid=1379,"Supermarket , Grocery"
Just Fried Thai Cafe,/oman/restaurant/662663/just-fried-thai-cafe-ghubrah-janubiyyah?aid=1379,"Thai, Asian, Seafood"
Al Yemen Al Saeed Restaurant,/oman/restaurant/658384/al-yemen-al-saeed-restaurant-al-ghubra-ash-shamaliyyah?aid=1379,"Grills, Mandi"
The Asian,/oman/restaurant/615744/the-asian-ghubrah-janubiyyahghubrah-janubiyyah?aid=1379,"Chinese, Indian, Filipino"
Nar Sweets Bakery Coffee,/oman/restaurant/45760/nar-sweets-bakery-coffee-azaiba?aid=1379,"Bakery, Pies, Desserts"
Toast Me,/oman/restaurant/703319/toast-me?aid=1379,"Breakfast, Sandwiches, Beverages"
Sando,/oman/restaurant/709174/sando-ghubrah-janubiyyah?aid=1379,"Sandwiches, Beverages, Fast food"
Bok Bok,/oman/restaurant/703313/bok-bok?aid=1379,"Burgers, American, Fast food"
Kunafa Al Diyafa,/oman/restaurant/612118/kunafa-aldiyafaal-ghubra-ash-shamaliyyah?aid=1379,Desserts
Big Bao Bun,/oman/restaurant/658233/big-bao-bun-ghala?aid=1379,"Sandwiches, Japanese, Beverages"
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=1379,Charity
Shawerma Al Balad,/oman/restaurant/722827/shawerma-al-balad-al-khuwayr-south?aid=1379,"Shawarma, Sandwiches, Arabic"
Carrefour,/oman/grocery/34180/carrefour-mgm-muscat?aid=1379,"Hypermarket, Grocery"
Fashion Eyes,/oman/restaurant/700730/fashion-eyes-qurm?aid=1379,cosmetics
Al Meera,/oman/grocery/699217/al-meera-panorama-muscat?aid=1379,"Hypermarket, Grocery"
Fayha Fresh,/oman/grocery/641716/fayha-fresh-al-khuwayr-north-muscat?aid=1379,"Supermarket , Grocery"
Just Fried Thai Cafe,/oman/restaurant/662663/just-fried-thai-cafe-ghubrah-janubiyyah?aid=1379,"Thai, Asian, Seafood"
Al Yemen Al Saeed Restaurant,/oman/restaurant/658384/al-yemen-al-saeed-restaurant-al-ghubra-ash-shamaliyyah?aid=1379,"Grills, Mandi"
The Asian,/oman/restaurant/615744/the-asian-ghubrah-janubiyyahghubrah-janubiyyah?aid=1379,"Chinese, Indian, Filipino"
Nar Sweets Bakery Coffee,/oman/restaurant/45760/nar-sweets-bakery-coffee-azaiba?aid=1379,"Bakery, Pies, Desserts"
Toast Me,/oman/restaurant/703319/toast-me?aid=1379,"Breakfast, Sandwiches, Beverages"
Sando,/oman/restaurant/709174/sando-ghubrah-janubiyyah?aid=1379,"Sandwiches, Beverages, Fast food"
Bok Bok,/oman/restaurant/703313/bok-bok?aid=1379,"Burgers, American, Fast food"
Kunafa Al Diyafa,/oman/restaurant/612118/kunafa-aldiyafaal-ghubra-ash-shamaliyyah?aid=1379,Desserts
Big Bao Bun,/oman/restaurant/658233/big-bao-bun-ghala?aid=1379,"Sandwiches, Japanese, Beverages"
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=1379,Charity
