Name,Href,Cuisines
Kiwi Juices,/oman/restaurant/625058/kiwi-juices-al-multaqa?aid=2620,"Beverages, Coffee"
FOOD STUDIO RESTAURANT,/oman/restaurant/723319/food-studio-restaurant-falaj-al-qabail?aid=2620,"Indian, Asian, Breakfast"
Kof Cafe,/oman/restaurant/622188/kof-cafefalaj-al-qabail?aid=2620,"Cafe, Beverages, Sandwiches"
Star Zaeem Foods,/oman/restaurant/46726/star-zaeem-foods-falaj-al-qabail?aid=2620,"Grills, Chicken, Vegetarian"
Dukan Ice Cream,/oman/restaurant/722367/dukan-ice-cream-falaj-al-awhi?aid=2620,"Desserts, Ice Cream"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=2620,Charity
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=2620,Charity
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=2620,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=2620,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=2620,Charity
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=2620,Charity
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=2620,Charity
Al Maazab Al Ordony,/oman/restaurant/726798/al-maazab-al-ordony-al-zafraan?aid=2620,"Arabic, Grills"
Burger Garage,/oman/restaurant/47315/burger-garage-sohar-afifa?aid=2620,"Burgers, Sandwiches"
Coffee posh,/oman/restaurant/729570/coffee-posh-falaj-al-qabail?aid=2620,"Coffee, Breakfast, Burgers, Italian, Desserts, Beverages, Pasta, Grills"
Al Majlis Al Hijazi Restaurant,/oman/restaurant/699625/al-majlis-al-hijazi-restaurant-sallan?aid=2620,"Mandi, Beverages, Grills"
Delicato Kitchen,/oman/restaurant/720549/delicato-kitchen-sohar?aid=2620,"Grills, Sandwiches, Seafood"
Hyderabadi Darbar,/oman/restaurant/713519/hyderabadi-darbar-falaj-al-qabail?aid=2620,"Indian, Biryani, Chinese"
Rock Burger,/oman/restaurant/626841/rock-burger-falaj-al-qabail?aid=2620,"Sandwiches, American, Burgers"
