Name,Href,Cuisines
Modern Oman Bakery,/oman/restaurant/697274/modern-oman-bakery-ibra-municipality-area?aid=2671,"Desserts, Beverages, Pastries"
BlueBerry Juice & Ice Cream,/oman/restaurant/672729/blueberry-juice-icecream-ibra-municipality-area?aid=2671,"Beverages, Juices, Milkshakes"
Andalusia Masterpiece Cafe Turkish Food,/oman/restaurant/672545/andalusia-masterpiece-cafe-turkish-food?aid=2671,"Pastries, Sandwiches, Juices"
DOTSI DONUTS.COFFEE,/oman/restaurant/702817/dotsi-donutscoffee-safala?aid=2671,"Beverages, Donuts, Desserts"
Crispy Chicken,/oman/restaurant/718573/crispy-chicken-al-ghayl?aid=2671,"Juices, Sandwiches"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=2671,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=2671,Charity
Pizza Sky,/oman/restaurant/722227/pizza-sky-al-ahmadi?aid=2671,Pizza
Baskin Robbins,/oman/restaurant/672651/baskin-robbins-al-ghayl?aid=2671,"Ice cream, Cakes, Desserts"
Sereno Cafe,/oman/restaurant/672563/sereno-cafe-ibra-suq-ibra-municipality-area?aid=2671,"Beverages, Milkshakes, Desserts"
Rawazen Restaurant,/oman/restaurant/672682/rawazen-restaurant-ibra-municipality-area?aid=2671,"Pastries, Noodles, Snacks"
Papa Johns,/oman/restaurant/711325/papa-johns-ibra?aid=2671,"Pizza, Pastries, Italian"
Fun Al Burger,/oman/restaurant/729865/fun-al-burger-ibra-college?aid=2671,"Burgers, Fast Food, American"
Mahshi Abo Abdo Ibra,/oman/restaurant/695401/mahshi-abo-abdo-ibra-al-ghayl?aid=2671,"Arabic, Beverages, Sandwiches"
P & P -  Potatoes & Pasta,/oman/restaurant/676701/p-p--potatoes-pasta-ibra-municipality-area?aid=2671,"Pasta, Italian, Beverages"
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=2671,Charity
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=2671,Charity
Al Fursan Cafe,/oman/restaurant/672559/al-fursan-cafe-ibra-municipality-area?aid=2671,"Sandwiches, Beverages, Juices"
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=2671,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=2671,Charity
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=2671,Charity
Domino's Pizza,/oman/restaurant/657529/dominos-pizza-ibra-hospital-area?aid=2671,"Pizza, International, Italian"
The East Kunafa,/oman/restaurant/672931/the-east-kunafa-al-ghayl?aid=2671,"Desserts, Beverages"
Association for the Welfare of the Handicapped Children,/oman/restaurant/630906/association-for-the-welfare-of-the-handicapped-children?aid=2671,Charity
Al Fayha,/oman/grocery/695814/al-fayha-ibra?aid=2671,"Hypermarket, Grocery"
Environment Society of Oman,/oman/restaurant/641624/environment-society-of-oman?aid=2671,Charity
AL JABRY PHARMACY,/oman/pharmacy/700166/al-jabry-pharmacy-ibra?aid=2671,Pharmacy
LuLu Hypermarket,/oman/grocery/692586/lulu-hypermarketibra?aid=2671,"Hypermarket, Grocery"
Pizza Hut,/oman/restaurant/711906/pizza-hut-ibraindustrial-area?aid=2671,"Pizza, International, Italian"
Kashth Burger,/oman/restaurant/672667/kashth-burger-ibra-hospital-area?aid=2671,"Burgers, Sandwiches, Sliders"
Kashth Burger,/oman/restaurant/672667/kashth-burger-ibra-hospital-area?aid=2671,"Burgers, Sandwiches, Sliders"
Ard Almuhashi,/oman/restaurant/703157/ard-almuhashi-ibra-hospital-area?aid=2671,"Arabic, Fast food, Egyptian"
OK Shawarma,/oman/restaurant/674180/ok-shawarma-ibra-hospital-area?aid=2671,"Shawarma, Sandwiches, Beverages"
Papa Kanafa,/oman/restaurant/672613/papa-kanafa-ibra-municipality-area?aid=2671,"Arabic sweets, Desserts, Arabic"
Deniz Cafe,/oman/restaurant/672504/deniz-cafe-ibra-municipality-area?aid=2671,"Beverages, Coffee, Desserts"
Love sweet,/oman/restaurant/731068/love-sweet-safala?aid=2671,"Egyptian, Coffee"
Takyah,/oman/restaurant/714376/takyah-ibra-municipality-area?aid=2671,"Omani, Breakfast, Beverages"
Um Balqees Pharmacy,/oman/pharmacy/692614/um-balqees-pharmacy-ibra-municipality-area?aid=2671,Pharmacy
Al Qaiser For Turkish Food,/oman/restaurant/672449/al-qaiser-for-turkish-food-al-ghayl?aid=2671,"Grills, Shawarma, Pastries"
Turknaz,/oman/restaurant/672672/turknaz-ibra-municipality-area?aid=2671,"Pastries, Grills, Shawarma"
Zaatar Cafe,/oman/restaurant/672719/zaatar-cafe-al-ghayl?aid=2671,"Sandwiches, Beverages, Burgers"
