Name,Href,Cuisines
Kaff Cafe,/oman/restaurant/652880/kaff-cafe-ar-rayibah?aid=5593,"Desserts, Beverages, Donuts"
Sukar Khafeef,/oman/restaurant/723380/sukar-khafeef-al-dareez?aid=5593,"Sandwiches, Desserts, Beverages"
Funky Mango,/oman/restaurant/729519/funky-mango-al-araqi?aid=5593,"Beverages, Burgers, Desserts"
Al Qannas Grills,/oman/restaurant/716951/al-qannas-grills-araqi?aid=5593,"Arabic, Breakfast, Burgers"
Pizza Hut,/oman/restaurant/634847/pizza-hut-ibri-souq?aid=5593,"Pizza, International, Italian"
Al Shaam Jewel,/oman/restaurant/698486/al-shaam-jewel-ibri-souq?aid=5593,"Arabic, Grills, Shawarma"
Burger Express,/oman/restaurant/676816/burger-express?aid=5593,"Juices, Fried chicken, Burgers"
Jim Cafe,/oman/restaurant/609426/jim-cafe-ibri-souq?aid=5593,"Beverages, Coffee, Milkshakes"
Chick N Fille,/oman/restaurant/698751/chick-n-fille-idreez?aid=5593,"Burgers, Sandwiches, Juices"
Hala Ibri,/oman/restaurant/718817/hala-ibri-as-sulaif?aid=5593,"Burgers, Juices, Fast food"
Mango Fruit,/oman/restaurant/615680/mango-fruit-ibri-hospital?aid=5593,"Juices, Fruits, Beverages"
Toucan,/oman/restaurant/682384/toucan-ibri?aid=5593,"Juices, Pancakes, Waffles"
Mango Talaat,/oman/restaurant/683927/mango-talaat-ibri?aid=5593,"Desserts, Juices, Fruits"
Ayush,/oman/restaurant/719053/ayush-hijjar?aid=5593,"Arabic, Omani"
Mr papa zinger,/oman/restaurant/729425/mr-papa-zinger-mutrid?aid=5593,"Burgers, Fast food"
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=5593,Charity
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=5593,Charity
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=5593,Charity
TAIBAT AL SHAM,/oman/restaurant/704849/taibat-al-sham-hijjar?aid=5593,"Arabic, Juices, Grills"
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=5593,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=5593,Charity
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=5593,Charity
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=5593,Charity
"Arab World Restaurant, Ibri",/oman/restaurant/610221/arab-world-restaurant-ibri?aid=5593,"Breakfast, Arabic, Foul"
Coffee Point,/oman/restaurant/609409/coffee-point-ibri-souq?aid=5593,"Desserts, Beverages, Gelato"
Waffle And Donut,/oman/restaurant/644166/waffle-and-donut-ibri-souq?aid=5593,"Desserts, Beverages, Donuts"
Al Mahashi Time,/oman/restaurant/702691/mahashi-time-hijjar?aid=5593,"Mezze, Desserts"
Burger Garage,/oman/restaurant/697099/burger-garage-as-sulaif?aid=5593,"Burgers, Sandwiches"
Burthukal,/oman/restaurant/610571/burthukal-dubaishi?aid=5593,"Burgers, Desserts, Beverages"
Domino's Pizza,/oman/restaurant/14863/dominos-pizza-hijjar-ibri?aid=5593,"Pizza, International, Italian"
Howd Al Masarat Restaurant,/oman/restaurant/658232/howd-al-masarat-restaurant-ibri-souq?aid=5593,"Chicken, Indian, Curry"
Association for the Welfare of the Handicapped Children,/oman/restaurant/630906/association-for-the-welfare-of-the-handicapped-children?aid=5593,Charity
Junaid Perfumes,/oman/restaurant/716232/junaid-perfumes-ar-rayibah?aid=5593,Perfumes
"ChicKing, Ibri,Hijjar",/oman/restaurant/608236/chicking-ibrihijjar?aid=5593,"Fried chicken, Sandwiches, Wraps"
Musk Al Ghazal Turkish Restaurant,/oman/restaurant/657947/musk-al-ghazal-turkish-restaurant-ibri-souq?aid=5593,"Shawarma, Pizza, Grills"
Papa Kanafa,/oman/restaurant/633625/papa-kanafa-al-araqi?aid=5593,"Arabic sweets, Desserts, Arabic"
Papa Johns,/oman/restaurant/716655/papa-johns-hijjar?aid=5593,"Pizza, Pastries, Italian"
Crispy Time,/oman/restaurant/729561/crispy-time-hijjar?aid=5593,"Fast Food, American"
Environment Society of Oman,/oman/restaurant/641624/environment-society-of-oman?aid=5593,Charity
LuLu Hypermarket,/oman/grocery/692577/lulu-hypermarket-ibri?aid=5593,"Hypermarket, Grocery"
Do donuts,/oman/restaurant/688138/do-donuts-ibri-souq?aid=5593,"American, Beverages, Donuts"
Baskin Robbins,/oman/restaurant/675904/baskin-robbins-ibri?aid=5593,"Ice cream, Cakes, Desserts"
Crispiano,/oman/restaurant/730803/crispiano-as-sulaif?aid=5593,"Burgers, Chicken"
One Stop,/oman/restaurant/681629/one-stop-ibri-souq?aid=5593,"Burgers, Cafe"
Mr. Mango,/oman/restaurant/609788/mr-mango-ibri-souq?aid=5593,"Beverages, Juices, Smoothies"
Flavors Room,/oman/restaurant/609428/flavors-room-ibri-souq?aid=5593,"Desserts, Churros, Crepes"
Kanafa & Karak,/oman/restaurant/611115/kanafa-karak-al-araqi?aid=5593,"Sandwiches, Arabic sweets, Burgers"
ROAST COFFEE,/oman/restaurant/729933/roast-coffee-ibri-souq?aid=5593,Coffee
FRITEN POTATOS,/oman/restaurant/707254/friten-potatos-as-sulaif?aid=5593,"Burgers, Pasta, Fast food"
Atiab Al Malak,/oman/restaurant/703644/atiab-al-malak-ibri?aid=5593,Specialty Store
IBRI MARKET,/oman/grocery/663396/ibri-market-ibri-souq?aid=5593,"Grocery, Fruits & Vegetables"
