Name,Href,Cuisines
Carrefour,/oman/grocery/33966/carrefour-qurm-muscat?aid=1405,"Hypermarket, Grocery"
LuLu Hypermarket,/oman/grocery/691937/lulu-hypermarket-darsait-muscat?aid=1405,"Hypermarket, Grocery"
Zam Zam Mandi Restaurant,/oman/restaurant/617605/zam-zam-mandi-restaurant-mbd?aid=1405,"Grills, Chicken, Seafood"
"Tropical, MBD",/oman/restaurant/31986/tropical-mbd?aid=1405,"Juices, Healthy, Beverages"
Burgers & Bites,/oman/restaurant/28392/burgers-bites-ruwimbd?aid=1405,"Sandwiches, American, Burgers"
Domino's Pizza,/oman/restaurant/2925/dominos-pizza-mbd?aid=1405,"Pizza, International, Italian"
Udupi Home,/oman/restaurant/612655/udupi-home-ruwi?aid=1405,"Vegetarian, South indian, Indian"
Naranji Maharaj,/oman/restaurant/696286/naranji-mahara-ruwi?aid=1405,"Desserts, Arabic sweets, Snacks"
Anjappar,/oman/restaurant/43639/anjappar-ruwi?aid=1405,"Chicken, Seafood, Biryani"
Delicious Desi Restaurant,/oman/restaurant/41423/delicious-desi-restaurant-ruwi-cbd?aid=1405,"Curry, Beverages, Bbq"
Ashok`s Grill House,/oman/restaurant/725117/ashoks-grill-house-wadi-al-kabir?aid=1405,"Indian, Asian, Grills"
Pak Darbar,/oman/restaurant/729572/pak-darbar-ruwi?aid=1405,Pakistani
Sea Shell Restaurant (Special Hyderabadi Food),/oman/restaurant/674853/nawabs-hyderbadi-special-food-ruwi?aid=1405,"Biryani, Chinese, Indian"
Four Squares Restaurant,/oman/restaurant/711465/four-squares-restaurant-wadi-al-kabir?aid=1405,"Indian, Curry, Chinese"
"BAMBAIYA - Frankies`, Momos` & More",/oman/restaurant/725592/bambaiya--frankies-momos-more-wadi-al-kabir?aid=1405,"Asian, Beverages, Desserts"
Al Ravi Restaurant,/oman/restaurant/45923/al-ravi-restaurant-ruwi?aid=1405,"Pakistani, Beverages, Desserts"
Al Haikal Restaurant,/oman/restaurant/644670/al-haikal-restaurant-ruwi?aid=1405,"Biryani, Indian, Desserts"
Kamat,/oman/restaurant/689247/kamat-ruwi?aid=1405,"Asian, Indian, Vegetarian"
The Milan's Restaurant,/oman/restaurant/616081/the-milans-restaurant-ruwi?aid=1405,"Mandi, Indian, Desserts"
Sree Saravana`s Vegetarian Restaurant,/oman/restaurant/719121/sree-saravanas-vegetarian-restaurant-ruwi?aid=1405,"Indian, Desserts, Beverages"
Ajeen,/oman/restaurant/668691/ajeen-wadi-al-kabir?aid=1405,"Manaqeesh, Pastries, Sandwiches, Saj"
Daawat,/oman/restaurant/654950/dawaat-ruwi?aid=1405,"Indian, Grills, Kebab"
"Al Hawas, Ruwi",/oman/restaurant/34570/al-hawas-ruwi?aid=1405,"Sandwiches, Grills, Shawarma"
Fantasy Restaurant,/oman/restaurant/675352/fantasy-restaurant-ruwi?aid=1405,"Biryani, Chicken, Seafood"
Miran Coffee & Ice Cream,/oman/restaurant/728749/miran-coffee-ice-cream-ruwi?aid=1405,"Beverages, Sandwiches, Desserts"
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=1405,Charity
Chataka Cafe & Juices,/oman/restaurant/720659/chataka-cafe-juices-wadi-al-kabir?aid=1405,"Asian, Juices, Vegetarian"
Khyber Restaurant,/oman/restaurant/11553/khyber-restaurant-cbd?aid=1405,"Grills, Biryani, Indian"
Deccan Darbar Restaurant (Hyderabadi Special Food),/oman/restaurant/39278/deccan-darbar-restaurant-ruwi?aid=1405,"Indian, Seafood, Grills"
Al Zahra Café,/oman/restaurant/695271/al-zahra-caf-wadi-khabir?aid=1405,"American, Beverages, Burgers"
6 Aromas Restaurant,/oman/restaurant/703085/6-aromas-restaurant-ruwi?aid=1405,"Indian, Biryani, Breakfast"
"Tropical, Darsait",/oman/restaurant/634696/tropical-darsait?aid=1405,"Juices, Smoothies, Beverages"
The Golden Wok,/oman/restaurant/725187/golden-wok-wadi-al-kabir?aid=1405,"Chinese, Indian, Noodles"
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=1405,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=1405,Charity
Khana Khazana,/oman/restaurant/738/khana-khazana-mbd?aid=1405,"Chinese, Indian, Noodles"
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=1405,Charity
Star Of Cochin Restaurant,/oman/restaurant/690421/star-of-cochin-restaurant-darsait?aid=1405,"Indian, Vegetarian, Grills"
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=1405,Charity
KRISHNADHAM,/oman/restaurant/706799/krishnadham-ruwi?aid=1405,"Asian, Grills, Indian"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=1405,Charity
Delta Pharmacy,/oman/pharmacy/676228/delta-pharmacy-wadi-al-kabir?aid=1405,Pharmacy
Camilia,/oman/restaurant/644985/camilia-mbd?aid=1405,"Grills, Mezze, Sandwiches"
