Name,Href,Cuisines
The Egg Story,/oman/restaurant/690367/the-egg-story?aid=1413,"American, Fast food, Breakfast"
MLS - Muscat Livestock,/oman/grocery/714077/muscat-live-stock-the-wave?aid=1413,Fresh Meat & Fish
Flower Plaza,/oman/flower/726896/flower-plaza-al-koudh?aid=1413,Flowers
Elite Rose,/oman/flower/641659/elite-rose-al-koudh?aid=1413,Flowers
Best of Pets,/oman/restaurant/679223/best-of-pets-al-mawalih-south-muscat?aid=1413,Specialty Store
Carrefour,/oman/grocery/32503/carrefour-seeb-muscat?aid=1413,"Hypermarket, Grocery"
Fashion Eyes,/oman/restaurant/641647/fashion-eyes-al-koudh?aid=1413,cosmetics
Al Meera,/oman/grocery/625318/al-meera-al-mawalih-north-muscat?aid=1413,"Hypermarket, Grocery"
Scientific Pharmacy,/oman/pharmacy/664042/scientific-pharmacy-seebhail-north-muscat?aid=1413,Pharmacy
Roses & Gifts Corner,/oman/flower/600789/roses-gifts-corner-maabela?aid=1413,Flowers
Bakhmari,/oman/restaurant/642326/bakhmari-hail-north?aid=1413,"Snacks, Beverages"
Second Cup,/oman/restaurant/40978/second-cup-al-hail?aid=1413,"Beverages, Cakes, Desserts"
3RD Street Donuts & Coffee,/oman/restaurant/716185/3rd-street-donut-hail-south?aid=1413,"Donuts, Desserts, Beverages"
Dallah Golden Tea Cafe,/oman/restaurant/30899/dallah-golden-tea-cafe-hail?aid=1413,"Cafe, Beverages, Sandwiches"
LAGUNA,/oman/restaurant/679567/laguna-hail-north?aid=1413,"Breakfast, International, Cafe"
Karak Tea & Burger,/oman/restaurant/37278/karak-tea-burgerhail?aid=1413,"Fast food, Burgers, Beverages"
Healthy Lab,/oman/restaurant/708509/healthy-lab-hail-south?aid=1413,"Healthy, Beverages, Sandwiches"
Kaldi 850 Coffee,/oman/restaurant/728686/kaldi-850-coffee-al-mawalih-north?aid=1413,"Beverages, Sandwiches, Cafe"
Coconut House Restaurant,/oman/restaurant/605309/coconut-house-restaurantal-hail-north?aid=1413,"Grills, Snacks, Juices"
Caffè Ottavo,/oman/restaurant/661391/caff-ottavo-hail-north?aid=1413,"Beverages, Desserts"
One Million Coffee,/oman/restaurant/623364/one-million-coffee-al-koudh?aid=1413,"Beverages, Coffee"
Mindazina,/oman/restaurant/31243/mindazinaal-koudh?aid=1413,"Breakfast, Burgers, Coffee"
Rahal Market & Bakery,/oman/restaurant/721812/rahal-market-bakery-al-koudh?aid=1413,"Pastries, Desserts, Bakery"
Macro Boost,/oman/restaurant/634312/macro-boost-al-hailhail-south?aid=1413,"Healthy, Burgers, Sandwiches, International"
RED CREAM,/oman/restaurant/685477/red-cream-al-koudh?aid=1413,"Desserts, Cakes"
Simitci Duniyasi,/oman/restaurant/34758/simitci-duniyasial-koudh?aid=1413,"Cafe, Beverages, Pizza"
Lovender,/oman/restaurant/673405/lovender-hail-north?aid=1413,"Cafe, Beverages, Pasta"
Haret Al Falafel,/oman/restaurant/723590/haret-al-falafel-al-koudh-6?aid=1413,"International, Breakfast, Sandwiches"
Al Fairoz,/oman/restaurant/602259/al-fairoz-al-koudh?aid=1413,"Sandwiches, Juices, Shawarma"
Bab Al Harah,/oman/restaurant/661717/bab-al-harah-hail-north?aid=1413,"Grills, Bbq, Breakfast"
My Keto Kitchen,/oman/restaurant/655548/my-keto-kitchenthe-wave?aid=1413,"Keto, International, Healthy"
Food Gate,/oman/restaurant/729702/food-gate-al-koudh?aid=1413,Sandwiches
Coffeol,/oman/restaurant/13993/coffeol-hail?aid=1413,"Sandwiches, Desserts, Beverages"
Mango Talaat,/oman/restaurant/30513/mango-talaat-seebalkoud?aid=1413,"Desserts, Juices, Fruits"
Lolah Shamsa wa Khamis,/oman/restaurant/719161/lolah-shamsa-wa-khamis-al-mawalih-south?aid=1413,"Breakfast, Sandwiches"
Baba karak,/oman/restaurant/728671/baba-karak-hail-south?aid=1413,"Bakery, Beverages"
Hadeathalchia,/oman/restaurant/721702/hadeathalchia-hail-south?aid=1413,"Arabic, Beverages, Breakfast"
Eat Softie,/oman/restaurant/655926/eat-softie-al-khoud?aid=1413,"Desserts, Ice cream, Cakes"
Twiga,/oman/restaurant/670686/twiga-hail-south?aid=1413,"Beverages, Desserts"
Basbosa Briste,/oman/restaurant/29156/basbosa-bristeal-khoudh?aid=1413,"Arabic sweets, Desserts, Arabic"
Jenan Tea Al Hail,/oman/restaurant/707415/jenan-tea-al-hail-hail-north?aid=1413,"Arabic, Beverages, Sandwiches"
Karak Bin Mohamed,/oman/restaurant/40985/karak-bin-mohamed-hail-south?aid=1413,"Fast food, Sandwiches, Bakery"
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=1413,Charity
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=1413,Charity
Al Shayeb Khalaf,/oman/restaurant/30943/al-shayeb-khalaf-hail-south?aid=1413,"Desserts, Bakery"
"Chai Wala, Al Koudh",/oman/restaurant/34695/chai-wala-al-koudh?aid=1413,"Desserts, Beverages, Milkshakes"
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=1413,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=1413,Charity
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=1413,Charity
Fresh Point,/oman/restaurant/694198/fresh-point-hail-north?aid=1413,"Beverages, Juices, Desserts"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=1413,Charity
Pastry And Pizza,/oman/restaurant/633510/pastry-and-pizza-hail-north?aid=1413,"Pastries, Pizza"
