Name,Href,Cuisines
Shawerma Al Balad,/oman/restaurant/722827/shawerma-al-balad-al-khuwayr-south?aid=1381,"Shawarma, Sandwiches, Arabic"
Carrefour,/oman/grocery/34180/carrefour-mgm-muscat?aid=1381,"Hypermarket, Grocery"
Al Meera,/oman/grocery/625126/al-meera-azaiba-muscat?aid=1381,"Hypermarket, Grocery"
LuLu Hypermarket,/oman/grocery/691938/lulu-hypermarket-al-bahja-muscat?aid=1381,"Hypermarket, Grocery"
Fayha Fresh,/oman/grocery/641716/fayha-fresh-al-khuwayr-north-muscat?aid=1381,"Supermarket , Grocery"
Taste of China,/oman/restaurant/713848/taste-of-china-azaiba?aid=1381,"Chinese, Street food"
Bamboo Restaurant,/oman/restaurant/726590/bamboo-restaurant-ghala?aid=1381,"Arabic, Beverages, Indian"
Kaldi 850 Coffee,/oman/restaurant/712936/kaldi-850-coffee-azaiba?aid=1381,"Beverages, Sandwiches, Cafe"
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=1381,Charity
Mai Thai,/oman/restaurant/639110/mai-thai-azaiba?aid=1381,"Thai, Asian, Seafood"
Dama Rose Arabic Sweets,/oman/restaurant/704279/dama-rose-arabic-sweets-azaiba?aid=1381,Desserts
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=1381,Charity
MEITO,/oman/restaurant/657210/meito-azaiba?aid=1381,"Cafe, Beverages, Sandwiches"
Sabah W Masa,/oman/restaurant/668818/sabah-w-masa-azaiba?aid=1381,"Pizza, Pastries & Sweets, Pies"
Vasanta Bhavan,/oman/restaurant/666415/vasanta-bhavan-bosher--ghala?aid=1381,"Vegetarian, Chinese, Indian"
Chop Chop,/oman/restaurant/721346/chop-chop-ghala?aid=1381,"Chinese, Indian, International, Asian"
Al Deyar Restaurant & Cafe,/oman/restaurant/699408/al-deyar-ghala?aid=1381,"Grills, Sandwiches, Seafood"
Dar Al Mahashi Restaurant,/oman/restaurant/730604/dar-al-mahashi-restaurant-azaiba?aid=1381,"Egyptian, Arabic, Mezze"
001 PIZZZERIA & MORE,/oman/restaurant/726535/001-pizzzeria-more-azaiba?aid=1381,"Italian, Pizza, Beverages"
Istanbul Restaurant By Kubat & Baki,/oman/restaurant/703102/istanbul-restaurant-by-kubat-baki-ghala?aid=1381,"Arabic, Shawarma, Turkish"
Labelle,/oman/flower/699146/labelle-azaiba?aid=1381,"Flowers, Pastries & Sweets, Chocolate"
Adam Bakery & Pastry,/oman/restaurant/693506/adam-bakery-and-pastry-azaiba?aid=1381,"Bakery, Pastries, Sandwiches"
Spicy Chatpata,/oman/restaurant/720311/spicy-chatpata-azaiba?aid=1381,"Indian, Curry, Breakfast"
Aloft Muscat,/oman/restaurant/722482/aloft-muscat-ghala?aid=1381,"Pasta, Salad, Biryani"
South Express,/oman/restaurant/665537/south-express-ghala?aid=1381,"Grills, Chicken, Asian"
Chai shai,/oman/restaurant/705803/chai-shai-al-ghubra-ash-shamaliyyah?aid=1381,"Grills, Indian, Desserts"
What A Paratha!,/oman/restaurant/677243/what-a-paratha-al-ghubra-ash-shamaliyyah?aid=1381,"Sandwiches, Desserts, Beverages"
Bang Burger,/oman/restaurant/721114/bang-burger-ghala?aid=1381,"Burgers, Sandwiches, International"
Fruitella,/oman/restaurant/669130/fruitella?aid=1381,"Juices, Milkshakes, Beverages"
Exas Smoke Grill,/oman/restaurant/711859/y-exas-smoke-grill-azaiba?aid=1381,"American, Fast food, Burgers"
Fruitella,/oman/restaurant/669130/fruitella?aid=1381,"Juices, Milkshakes, Beverages"
Exas Smoke Grill,/oman/restaurant/711859/y-exas-smoke-grill-azaiba?aid=1381,"American, Fast food, Burgers"
Tea Corner,/oman/restaurant/727103/tea-corner-azaiba?aid=1381,"Cafe, Beverages, Sandwiches"
Malabar Ghala,/oman/restaurant/729738/malabar-ghala-ghala?aid=1381,"Indian, Biryani, Chicken"
Noodle Lab,/oman/restaurant/679394/noodle-labal-ghubra-ash-shamaliyyah?aid=1381,"Asian, Chinese, International"
Al Marsa Banquet And Hospitaity,/oman/restaurant/695532/al-marsa-banquet-and-hospitaity-azaiba?aid=1381,"Arabic, Beverages, Chicken"
SHAWARMA & GRILLS ON CHARCOAL,/oman/restaurant/709691/shawarma-grills-on-charcoal-azaiba?aid=1381,"Grills, Shawarma, Sandwiches"
EL PATRON,/oman/restaurant/711704/el-patron-ghala-industrial-estate?aid=1381,Mexican
