Name,Href,Cuisines
Scientific Pharmacy,/oman/pharmacy/664035/scientific-pharmacysohar-1?aid=2602,Pharmacy
Libra,/oman/restaurant/732124/libra-at-turayf?aid=2602,"Cafe, Coffee, Desserts"
Alwafy Alrraqi,/oman/restaurant/658490/alwafy-alrraqi-khawr-al-siyabi?aid=2602,"Cafe, Beverages, Grills"
Doodle Cafe,/oman/restaurant/675657/doodle-cafe-al-hambar?aid=2602,"Desserts, Beverages"
Roshen Cafe,/oman/restaurant/706482/roshen-cafe-as-suwayhrah?aid=2602,"Pastries, Indian, Beverages"
Antica Cafe,/oman/restaurant/717536/antica-cafe-al-hambar?aid=2602,"Breakfast, Desserts, Beverages"
Vienes Cafe,/oman/restaurant/697516/vienes-cafe-sohar?aid=2602,"Cafe, Cakes and Desserts, Coffee"
Konafko,/oman/restaurant/731356/konafko-al-hambar?aid=2602,Desserts
Modern Oman Bakery,/oman/restaurant/601626/modern-oman-bakerysohar?aid=2602,"Desserts, Beverages, Pastries"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=2602,Charity
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=2602,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=2602,Charity
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=2602,Charity
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=2602,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=2602,Charity
Potatos 7,/oman/restaurant/624918/potatos-7-al-hambar?aid=2602,"Seafood, Chicken, Fish & chips"
Hadrramout Restaurant,/oman/restaurant/641493/hadrramout-restaurant-al-hambar?aid=2602,"Grills, Biryani"
SEER,/oman/restaurant/725290/seer?aid=2602,"Coffee, Bakery"
709 burger,/oman/restaurant/708392/709-burger-al-hambar?aid=2602,"International, Beverages, Sandwiches"
Taibat Al Bait Al Shami,/oman/restaurant/703849/taibat-al-bait-al-shami-sohar?aid=2602,"Beverages, Grills, Sandwiches"
"ChicKing, Al Ghushbah",/oman/restaurant/710300/chicking-al-ghushbah?aid=2602,"Fried chicken, Sandwiches, Wraps"
Falafel And Foul House,/oman/restaurant/40735/falafel-and-foul-house-al-waqiba?aid=2602,"Sandwiches, Desserts, Beverages"
Orlov,/oman/restaurant/704411/orlov-al-hambar?aid=2602,"Cafe, Beverages, Desserts"
Dallat Kookh Al Shaay,/oman/restaurant/666384/dallat-kookh-al-shaay-qursiyabi-khawr-al-siyabi?aid=2602,"Cafe, Beverages, Sandwiches"
Ahl Al Fazaa Restaurant For Banquets,/oman/restaurant/719977/ahl-al-fazaa-restaurant-for-banquets-al-uwaynat?aid=2602,"Arabic, Omani, Grills"
AL SUWAIHARA RESTAURANT & COFFEE SHOP,/oman/restaurant/699505/al-suwaihara-restaurant-coffee-shop-as-suwayhrah?aid=2602,"Asian, Pakistani"
Luqaimat,/oman/restaurant/52433/luqaimat-al-hambar?aid=2602,"Arabic sweets, Desserts"
New Delhi Rasoi,/oman/restaurant/655856/new-delhi-rasoi-afifa?aid=2602,"Grills, Biryani"
Al Namarak Sohar Restaurant,/oman/restaurant/670405/al-namarak-sohar-restaurant?aid=2602,Grills
Ertewa Cafe,/oman/restaurant/682003/ertewa-cafe?aid=2602,"Cafe, Beverages, Sandwiches"
Ard Almuhashi,/oman/restaurant/668885/ard-almuhashi-afifa?aid=2602,"Cafe, Juices"
Association for the Welfare of the Handicapped Children,/oman/restaurant/630906/association-for-the-welfare-of-the-handicapped-children?aid=2602,Charity
Abo Mariam,/oman/restaurant/728559/abo-mariam-restaurant-al-hambar?aid=2602,Arabic
Lahfa,/oman/restaurant/720056/lahfa-al-hambar?aid=2602,"Beverages, International"
MILAN RESTAURANT,/oman/restaurant/674739/milan-restaurant-al-hambar?aid=2602,"Grills, Desserts"
Environment Society of Oman,/oman/restaurant/641624/environment-society-of-oman?aid=2602,Charity
Burger 63,/oman/restaurant/668063/burger-63?aid=2602,"Burgers, Keto, Shawarma"
Bur Burger,/oman/restaurant/662420/bur-burger-al-hambar?aid=2602,"Cafe, Beverages, Burgers"
Aseer Time,/oman/restaurant/724076/aseer-time-al-hambar?aid=2602,"Desserts, Juices, Ice Cream, Ice cream"
Juicy Club,/oman/restaurant/716339/juicy-club-al-hambar?aid=2602,"Juices, Desserts, Beverages"
