Name,Href,Cuisines
Burger Coppa,/oman/restaurant/687646/burger-coppa-buraimi-university?aid=2708,"Beverages, Burgers, Sandwiches"
Sultan Coffeeshop,/oman/restaurant/660087/sultan-coffeeshop-buraimi-university?aid=2708,"Beverages, Burgers, Sandwiches"
Shaghf,/oman/restaurant/689238/shaghf-saraa?aid=2708,"Beverages, Desserts"
Sheksper Coffee,/oman/restaurant/47157/sheksper-coffee-saraa?aid=2708,"Desserts, Beverages, Chocolate"
Sad Mareb Restaurant,/oman/restaurant/728341/sad-mareb-restaurant-ard-elgaw?aid=2708,"Omani, Arabic"
Al Bukhari Al Aseel,/oman/restaurant/652545/al-bukhari-al-aseel-ard-elgaw?aid=2708,"Grills, Chicken, Seafood"
Sandwich Station,/oman/restaurant/717299/sub-sandwich-station-buraimi-university?aid=2708,"Sandwiches, Fast food, Burgers"
Papa Johns,/oman/restaurant/699936/papa-johns-buraimi-university?aid=2708,"Pizza, Pastries, Italian"
TEA AL MUHAFADHA CAFE,/oman/restaurant/704400/tea-al-muhafadha-cafe-mazara-al-aqda?aid=2708,"Arabic, Pastries, Sandwiches"
"Aseer Time, Al Helie",/oman/restaurant/691910/aseer-time-al-helie?aid=2708,"Beverages, Ice cream, Milkshakes"
Ibn Naghmash Kitchen & Restaurant For Mandi,/oman/restaurant/659461/ibn-naghmash-kitchen-restaurant-for-mandi-al-gherifa?aid=2708,"Mandi, Arabic"
Croissant Spot,/oman/restaurant/718021/croissant-spot-buraimi-university?aid=2708,"Bakery, Beverages"
Al Bait Al Fakhir Mandi,/oman/restaurant/717965/al-bait-al-fakhir-mandi-hamasa-shaabiyah?aid=2708,"Arabic, Beverages, Mandi"
Neuchatel,/oman/restaurant/631878/neuchatel-saraa?aid=2708,"Chocolate, Desserts, International"
Al Dar Al Hadith Bakeries And Markets,/oman/restaurant/729580/al-dar-al-hadith-bakeries-and-markets-buraimi-university?aid=2708,"Bakery, Pastries, Pastries & Sweets"
Al Nores Restuarnt & Coffee Shop,/oman/restaurant/728592/al-nores-restuarnt-coffee-shop-buraimi-university?aid=2708,"Indian, Sandwiches, Grills"
Mango Talaat,/oman/restaurant/616575/mango-talaat-buraimi?aid=2708,"Desserts, Juices, Fruits"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=2708,Charity
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=2708,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=2708,Charity
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=2708,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=2708,Charity
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=2708,Charity
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=2708,Charity
TAIBAT AL SHAM MODERN RESTAURANT,/oman/restaurant/702816/taibat-al-sham-modern-restaurantsaraa?aid=2708,"Arabic, Grills, Pastries"
Al Mahashi Time,/oman/restaurant/690503/al-mahashi-time?aid=2708,"Mezze, Desserts"
