Name,Href,Cuisines
Khafayif Sinaw,/oman/restaurant/687526/khafayif-sinaw-sinaw?aid=10110,"Sandwiches, Desserts, Arabic sweets"
Mr Do,/oman/restaurant/687988/mr-do-sinaw?aid=10110,"Desserts, Donuts, Coffee"
Sharbat W Askareem,/oman/restaurant/692269/sharbat-w-askareem-sinaw?aid=10110,"Beverages, Coffee, Ice cream"
Papa Kanafa,/oman/restaurant/688408/papa-kanafa-sinaw?aid=10110,"Arabic sweets, Desserts, Arabic"
Domino's Pizza,/oman/restaurant/688384/dominos-pizza-sinaw?aid=10110,"Pizza, International, Italian"
PIZZA MODO,/oman/restaurant/687244/pizza-modo-sinaw?aid=10110,"Pizza, Pasta, Italian"
"Aseer Time, Sinaw",/oman/restaurant/688419/aseer-time-sinaw?aid=10110,"Desserts, Ice cream, Milkshakes"
The Pizza Lab,/oman/restaurant/715501/the-pizza-lab-sinaw?aid=10110,"Pizza, International"
Al Hosni Omani Sweets,/oman/grocery/710191?aid=10110,"Specialty Store , Desserts"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=10110,Charity
LuLu Hypermarket,/oman/grocery/692585/lulu-hypermarket-sinaw?aid=10110,"Hypermarket, Grocery"
HOT N COOL,/oman/restaurant/694929/hot-n-cool-sinaw?aid=10110,"Beverages, Burgers, Sandwiches"
Grill corner,/oman/restaurant/687672/grill-corner-sinaw?aid=10110,"Grills, Burgers, Sandwiches"
Baskin Robbins,/oman/restaurant/699196/baskin-robbins-sinaw?aid=10110,"Ice cream, Cakes, Desserts"
Naba Al Hanan Ice Cream & Corn,/oman/restaurant/690724/naba-al-hanan-ice-cream-corn-sinaw?aid=10110,"Ice Cream, Snacks, Beverages"
Trendom Cafe,/oman/restaurant/687528/trendom-cafe-sinaw?aid=10110,"Beverages, Desserts, Cafe"
The East Kunafa,/oman/restaurant/687825/the-east-kunafa-sinaw?aid=10110,"Desserts, Beverages"
Abu Maaz Fresh Burger,/oman/restaurant/687678/abu-maaz-fresh-burger-sinaw?aid=10110,"Burgers, Sandwiches, Juices"
Ryoog,/oman/restaurant/687589/ryoog-sinaw?aid=10110,"Pastries, Breakfast, Omani"
Hot Sky Burger,/oman/restaurant/687607/hot-sky-burger-sinaw?aid=10110,"Burgers, Beverages, Fast food"
Al Kawthar Pharmacy,/oman/pharmacy/689648/al-kawthar-pharmacy-sinaw?aid=10110,Pharmacy
Atiab Al Malak,/oman/restaurant/703646/atiab-al-malak-sinaw?aid=10110,Specialty Store
