Name,Href,Cuisines
First Restaurant,/oman/restaurant/660005/first-restaurant-taqah-ashmaliya-roundabout?aid=9530,"Cafe, Beverages, Shawarma"
SEKAH 55,/oman/restaurant/727047/sekah-55-middle-taqa?aid=9530,"Cafe, Sandwiches, Desserts"
Pakistani Restaurant,/oman/restaurant/678750/pakistani-restaurant-taqah-roundabout?aid=9530,"Grills, Biryani, Chicken"
Patria Cafe,/oman/restaurant/695803/patria-cafe-taqah?aid=9530,"Cafe, Beverages, Desserts"
Al Burj Cafe,/oman/restaurant/717138/al-burj-cafe-middle-taqa?aid=9530,"Cafe, Beverages, Desserts"
Hesto,/oman/restaurant/703841/hesto-west-taqah?aid=9530,"Coffee, Sandwiches, Desserts"
Abdul Gafoor Restaurant,/oman/restaurant/665960/abdul-gafoor-restaurant-taqah-ashmaliya-roundabout?aid=9530,"Grills, Chicken"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=9530,Charity
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=9530,Charity
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=9530,Charity
Panella Cafe,/oman/restaurant/655262/panella-cafe-taqah-public-garden-area?aid=9530,"Beverages, Desserts"
Oman Cancer Association,/oman/restaurant/642306/oman-cancer-association?aid=9530,Charity
Atta Hifz Al Neama,/oman/restaurant/641026/atta-hifz-al-neama?aid=9530,Charity
Al Rahma Association for Motherhood and Child Welfare,/oman/restaurant/630907/al-rahma-association-for-motherhood-and-child-welfare-bawshar?aid=9530,Charity
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=9530,Charity
Afkar Cafe,/oman/restaurant/689495/afkar-cafe?aid=9530,"Coffee, Desserts, Cafe"
Association for the Welfare of the Handicapped Children,/oman/restaurant/630906/association-for-the-welfare-of-the-handicapped-children?aid=9530,Charity
Ooka Booka,/oman/restaurant/714118/ooka-booka-sahnawt-al-janubiyyah?aid=9530,"Desserts, Beverages, Donuts"
Izz Tea,/oman/restaurant/691760/izz-tea-west-taqah?aid=9530,"Cafe, Beverages, Burgers"
ZAHOOR AL DAMAR Coffeeshop & Fruit Juice,/oman/restaurant/657884/zahoor-al-damar-coffeeshop-fruit-juice-taqah-ashmaliya?aid=9530,"Cafe, Beverages, Sandwiches"
Mango Hut,/oman/restaurant/659424/mango-hut-taqah-ashmaliya-rounabout?aid=9530,"Beverages, Crepes, Waffles"
Favourite Restaurant,/oman/restaurant/658140/favourite-restaurant-taqah-ashmaliya-roundabout?aid=9530,"Cafe, Beverages, Burgers"
Om Ayman,/oman/restaurant/657863/om-ayman-taqah-ashmaliya-roundabout?aid=9530,"Cafe, Beverages, Grills"
Arabian Pies,/oman/restaurant/676837/arabian-pies-taqah-public-garden-area?aid=9530,"Cafe, Beverages, Pizza"
My Berry,/oman/restaurant/691311/my-berry-taqah-hospital-area?aid=9530,"Fast food, Chicken, Burgers"
Dhofar Attractions Restaurant,/oman/restaurant/705814/dhofar-attractions-restaurant-middle-taqa?aid=9530,"Arabic, Grills, Breakfast"
44,/oman/restaurant/714443/44-west-taqah?aid=9530,"Sandwiches, Beverages, Burgers"
Yummy,/oman/restaurant/719040/yummy-west-taqah?aid=9530,"Cafe, Beverages, Burgers"
Ahla Restaurant,/oman/restaurant/661510/ahla-restaurant-taqah-roundabout?aid=9530,"Cafeteria, Sandwiches, Grills"
Pizza Centre,/oman/restaurant/657887/pizza-centre-taqah-ashmaliya-roundabout?aid=9530,"Pizza, Noodles, Fried chicken"
VERDEMELA,/oman/restaurant/712469/verdemela-north-taqa?aid=9530,"Burgers, Pasta, Coffee, Cakes"
Jumana cafe,/oman/restaurant/705216/jumana-cafe-west-taqah?aid=9530,"Cafe, Sandwiches, Desserts"
