Name,Href,Cuisines
Carrefour,/oman/grocery/36469/carrefour-salalah?aid=5615,"Hypermarket, Grocery"
KRNSHES,/oman/restaurant/689349/krnshes?aid=5615,"Burgers, Fast food, Chicken"
Papa Johns,/oman/restaurant/703817/papa-johns-sadda-al-sada-north?aid=5615,"Pizza, Pastries, Italian"
Delicato Kitchen,/oman/restaurant/720192/delicato-kitchen-janub-madinat-as-saad?aid=5615,"Grills, Sandwiches, Seafood"
Fatayer Hut,/oman/restaurant/686880/fatayer-hut-shamal-madinat-as-saadah?aid=5615,"International, Pizza"
Baskin Robbins,/oman/restaurant/653136/baskin-robbins-saadaawqad-al-janubiyyah?aid=5615,"Ice cream, Cakes, Desserts"
Eat softie,/oman/restaurant/719391/eat-softie-janub-madinat-as-saad?aid=5615,"Ice Cream, Coffee, Desserts"
Tea Station,/oman/restaurant/686911/tea-station-shamal-ad-dahariz?aid=5615,"Coffee & Tea, Sandwiches, Desserts"
Mini Donut,/oman/restaurant/679810/mini-donut-salalah?aid=5615,"Donuts, Arabic sweets, Desserts"
Lafta Cafe,/oman/restaurant/678637/lafta-cafe-janub-madinat-as-saad?aid=5615,"Beverages, Desserts"
"Diwa Cafe, Saadah",/oman/restaurant/719201/diwa-cafe-janub-madinat-as-saad?aid=5615,"Grills, Chinese, Indian"
Balance Launge,/oman/restaurant/667045/balance-launge?aid=5615,"Beverages, Milkshakes"
2 Million Coffee,/oman/restaurant/651579/2-million-coffee-janub-madinat-as-saad?aid=5615,"Beverages, Milkshakes, Desserts"
McCafé,/oman/restaurant/671190/mccaf-ar-rubat?aid=5615,"Donuts, Coffee, Cakes"
Mood Coffee Plus,/oman/restaurant/661747/mood-coffee-plus-al-saadahjanub-madinat-as-saad?aid=5615,"Desserts, Beverages, Sandwiches"
Association Of Early Intervention For Children With Disability,/oman/restaurant/701377/association-of-early-intervention-for-children-with-disability?aid=5615,Charity
Linne Chocolate,/oman/restaurant/726591/linne-chocolate-janub-madinat-as-saad?aid=5615,"Coffee, Chocolate, Desserts"
Manah Social Team,/oman/restaurant/712459/manah-social-team-ghala?aid=5615,Charity
Akel Al Mama,/oman/restaurant/601420/akel-al-mama-janub-madinat-as-saad?aid=5615,"Cafe, Beverages, Grills"
Samakani,/oman/restaurant/684208/samakani-janub-as-saadah?aid=5615,"Seafood, Arabic, Fish & chips"
Balsamina Cafe,/oman/restaurant/712456/balsamina-cafe-janub-madinat-as-saad?aid=5615,"Cafe, Coffee, Desserts"
Capri Restaurant,/oman/restaurant/707582/capri-restaurant-sudh?aid=5615,"Italian, Pizza, Beverages"
Modern Oman Bakery,/oman/restaurant/602933/modern-oman-bakery-saada?aid=5615,"Desserts, Beverages, Pastries"
My Shrimp,/oman/restaurant/729435/my-shrimp-ar-rubat?aid=5615,"Grills, Seafood"
Izz Tea,/oman/restaurant/656302/izz-tea-shamal-madinat-as-saadah?aid=5615,"Cafe, Beverages, Burgers"
SOMBO,/oman/restaurant/688040/sombo-shamal-madinat-as-saadah?aid=5615,"American, Beverages, Sandwiches"
Khokh w Meshmesh,/oman/restaurant/665141/khokh-w-meshmesh-janub-madinat-as-saad?aid=5615,"Desserts, Beverages, Crepes"
Freej Al Mubarakiya,/oman/restaurant/663152/freej-al-mubarakiya-janub-madinat-as-saadah?aid=5615,"Grills, Kebab, Seafood"
Dolce Black Cafe,/oman/restaurant/725031/dolce-black-cafe-shamal-ad-dahariz?aid=5615,"Coffee, Beverages"
Fog London,/oman/restaurant/706509/fog-london-salalah-industrial?aid=5615,"Coffee, Desserts"
Golden bakes & sweets,/oman/restaurant/724293/golden-bakes-sweets-shamal-ad-dahariz?aid=5615,"Bakery, Desserts, Arabic"
RAJU,/oman/restaurant/671748/raju-janub-madinat-as-saad?aid=5615,"Pies, Sandwiches"
Roselle,/oman/restaurant/684090/roselle-shamal-ad-dahariz?aid=5615,"Desserts, Beverages, Bakery"
Bristol Hotel Salalah,/oman/restaurant/704752/bristol-hotel-salalah-sudh?aid=5615,"Indian, Egyptian, Juices, Tunisian, Shawarma"
Bahjah Orphans Society,/oman/restaurant/650599/bahjah-orphans-society?aid=5615,Charity
Joufa Cafe,/oman/restaurant/683777/joufa-cafe-shamal-madinat-as-saadah?aid=5615,"Cafe, Snacks, Sandwiches, Desserts"
Al Faris,/oman/restaurant/606601/al-faris-janub-madinat-as-saad?aid=5615,"Cafe, Beverages, Grills"
Baskin Robbins,/oman/restaurant/653136/baskin-robbins-saadaawqad-al-janubiyyah?aid=5615,"Ice cream, Cakes, Desserts"
Mango Delight,/oman/restaurant/32262/mango-delightal-sada-south?aid=5615,"Beverages, Ice cream, Desserts"
Al Jasim Electronics,/oman/restaurant/707722/al-jasim-electronics-salalah-grand-mall?aid=5615,Electronics
Ravenna Kunafa,/oman/restaurant/723341/ravenna-kunafa-shamal-ad-dahariz?aid=5615,"Arabic sweets, Desserts"
Antar Restaurant,/oman/restaurant/723198/antar-restaurant-janub-ad-dahariz?aid=5615,"Burgers, Arabic, Grills"
One Tea,/oman/restaurant/688706/one-tea-janub-madinat-as-saad?aid=5615,"Burgers, Sandwiches, Beverages"
2 Million Coffee,/oman/restaurant/651579/2-million-coffee-janub-madinat-as-saad?aid=5615,"Beverages, Milkshakes, Desserts"
Vian Croissants,/oman/restaurant/676401/vian-croissants-shamal-madinat-as-saadah?aid=5615,Desserts
One Tea,/oman/restaurant/688706/one-tea-janub-madinat-as-saad?aid=5615,"Burgers, Sandwiches, Beverages"
Baskin Robbins,/oman/restaurant/653136/baskin-robbins-saadaawqad-al-janubiyyah?aid=5615,"Ice cream, Cakes, Desserts"
Mango Delight,/oman/restaurant/32262/mango-delightal-sada-south?aid=5615,"Beverages, Ice cream, Desserts"
Vian Croissants,/oman/restaurant/676401/vian-croissants-shamal-madinat-as-saadah?aid=5615,Desserts
Mute cafe,/oman/restaurant/671527/mute-cafe-ar-rubat?aid=5615,"Beverages, Desserts"
Bon Lab,/oman/restaurant/721567/bon-lab-janub-madinat-as-saad?aid=5615,"Cafe, Beverages, Cakes"
Huff & Puff,/oman/restaurant/711267/huff-puff-sudh?aid=5615,"American, Arabic"
Nando's,/oman/restaurant/665539/nandos-north-dahariz?aid=5615,"Chicken, Grills, Wraps"
MNASHAB,/oman/restaurant/724382/mnashab-janub-madinat-as-saad?aid=5615,Arabic
Camel Cookies,/oman/restaurant/642298/camel-cookies-shamal-ad-dahariz?aid=5615,"Beverages, Desserts, International"
Take Biryani,/oman/restaurant/714684/take-biryani-al-saada?aid=5615,"Biryani, Indian, Arabic"
ALOS,/oman/restaurant/677513/alos-cafeshamal-ad-dahariz?aid=5615,"Beverages, Desserts"
Double M,/oman/restaurant/724102/double-m-north-al-saadah?aid=5615,Desserts
Luqaimat,/oman/restaurant/674930/luqaimat-janub-madinat-as-saad?aid=5615,"Arabic sweets, Desserts"
KARAK ALBANZ,/oman/restaurant/689589/karak-albanz-janub-madinat-as-saad?aid=5615,"Cafe, Pies"
Dar Al Atta,/oman/restaurant/611892/dar-al-atta?aid=5615,Charity
Luqaimat,/oman/restaurant/674930/luqaimat-janub-madinat-as-saad?aid=5615,"Arabic sweets, Desserts"
KARAK ALBANZ,/oman/restaurant/689589/karak-albanz-janub-madinat-as-saad?aid=5615,"Cafe, Pies"
FROZ,/oman/restaurant/688576/froz-janub-madinat-as-saad?aid=5615,"Desserts, Ice Cream, Coffee"
Chinese Restaurant -Saada,/oman/restaurant/46537/chinese-restaurant-sudh?aid=5615,"Chicken, Seafood, Noodles"
"Al Sham Fruit Juices, Al Saadh",/oman/restaurant/52734/al-sham-fruit-juices-al-saadh?aid=5615,"Cafe, Beverages, Pizza"
Pure Coffee,/oman/restaurant/708149/pure-cafe-janub-madinat-as-saad?aid=5615,"Beverages, Cakes, Sandwiches"
Madhabi Abu Suhail,/oman/restaurant/722548/madhabi-abu-suhail-janub-madinat-as-saad?aid=5615,"Arabic, Saudi, Mandi"
Qater Al Arabi Restaurant,/oman/restaurant/616114/al-qatar-al-arabi-janub-madinat-as-saad?aid=5615,"Grills, Sandwiches, Pizza"
Baristazz Lab Heros,/oman/restaurant/677178/baristazz-salalah-wosta?aid=5615,"Breakfast, Beverages"
Yusuf Restaurant,/oman/restaurant/709201/yusuf-restaurant-shamal-madinat-as-saadah?aid=5615,"Sandwiches, Beverages, Burgers"
Izz Tea,/oman/restaurant/656302/izz-tea-shamal-madinat-as-saadah?aid=5615,"Cafe, Beverages, Burgers"
Marmara AL -Turkey Restaurant,/oman/restaurant/36979/marmara-turki-restaurant-al-saada?aid=5615,"Grills, Doner, Shawarma, International"
Di Lusso Cafe,/oman/restaurant/707223/di-lusso-cafe-sudh?aid=5615,"Beverages, Desserts, International"
MAZABI BAR HOOB,/oman/restaurant/704405/mazabi-bar-hoob-shamal-madinat-as-saadah?aid=5615,Arabic
AL QAFILA,/oman/restaurant/695110/al-qafila-as-saadah?aid=5615,"Sandwiches, Juices, Fast food"
Tayibat Marmaris,/oman/restaurant/616517/tayibat-marmaris-sudh?aid=5615,"Cafe, Juices, Sandwiches"
Shobak,/oman/restaurant/712711/shobak-janub-madinat-as-saad?aid=5615,"Burgers, Pizza, Beverages"
Penguin,/oman/restaurant/7261/penguin-al-sada-south?aid=5615,"Pizza, Fried chicken, Burgers"
Kaldi 850 Coffee,/oman/restaurant/728685/kaldi-850-coffee-janub-madinat-as-saad?aid=5615,"Beverages, Sandwiches, Cafe"
Ooka Booka,/oman/restaurant/708280/ooka-booka-sahnawt-al-janubiyyah?aid=5615,"Desserts, Beverages, Donuts"
